address,mav_amount
0x762a6222fa8cc9f4512a7e42ccda8ecf2be2069b,373187
0x4fd864e912a21fb88dff1afb481481a386454812,396679
0x89261103fa88a913c8d0debd00574fd16895407d,372801
0x6885f9f0af99d60be2bad3bf5732818c85549f62,396734
0xeb364b7ae50efbf8eced744e1f5da67385fa6e0e,372416
0x660cdb3725bf2e92986f9e72459af85c2804f9d8,396734
0x859d77843c69d55d652139624c7d5e792a76fc5e,396734
0x33a4f6eca4b47a41bb8db427f205aeaa3263c038,396679
0x4bfd60b8eb6ac44d78dea215e5a4ff6f39d99b80,396734
0x52e4eebaf98c06918453b600ac07b45b6f5907a0,396679
0xa8e1e177bb69e62eee8ae0c9897c01b4728b55f1,372691
0x07d26e54e1559edb4de81229092b550d9ec34629,396734
0x08888ce68d8de3d2616f96270f06b1b6fb3a18f6,396734
0xc00dc03e37f8c85064a59e29b094ecd9d0295930,372471
0x3d5eaf137646feb4431986096437927506d16cfc,373132
0x51c669fe0b9534666e7a5ac9956b87dfb1e0c6b6,396734
0x29816f59f1c7e1ba69289cf486556929f7743ca2,372031
0x8a20578107311005857e32942f846437ea38959c,396679
0x945836b8345764cbde363b9209d3e0338cb83ffe,396734
0x702dfa5428b7f0c7520f19dd65590b55370f99b4,396734
0x2a61db4dba8838b4993bd558ada0eb046bc50785,373187
0x32f0c6485b9ea302d5b226848421d44fd8681fdb,396734
0x31a1aab023739d5ca68c49ce0e695c744b79260c,396734
0xc16e8f5ce96515e5ffdc198f23293d75b42c3266,372526
0x5fa88a8094af36cc7c711d585a47f608c3e9b71b,396734
0x0294ebebf5cdb1f96cdbda014b25ac0e95aefdca,372636
0x15db2b5729df80e1f21f264c004cf32881c79ac0,372526
0x9b2bb2f10dbaaab7ce288179f0534e118508dad4,373132
0xb7abf554aefd4686639afcf2a653adfda3d9b038,373132
0x9640f1cb81b370186d1fcd3b9cbfa2854e49555e,373022
0x03d60763cfe40d907640fd52ef5787beaf8eee9e,372746
0xe4076281cf8f3c73404a0642a390c1d946720e08,396679
0x81ca0a7e89da4b02ce422eb5b2684ff83c30b4d4,396734
0x3662e728316e5fb2b7b47dda01c883937be39ba6,396679
0xf73506b2dd30597758596672ce9df4cf7f4f2788,396679
0xab91149eb7fa809d655652d134a4dfa08d67fdbf,396679
0x89eeaf6cef929b2b35bfa7ddd37390c6d3c86500,396679
0x88eaf971d7babed6d13dd31d0aa7dc5c1f3f7989,396734
0x912e804e16f7ef6a3eddf2f7c5bcb38d2a2c5e43,396734
0x9cad95adee7fbf9f689969a5be63140be3cb524b,373077
0x318fdb3bd9d1607b29c59eae942f111371f06f9c,396734
0x2518664f4327624d46b68cbb1c85a5221b2f30c8,396734
0xad62d4fdd2d071536dbcb72202f1ef51b17ece30,396734
0x75aa28b309d95b175f1380297b28643ad3b99957,372636
0xd6e02c13a6cc133c9d019495414667ea7bee05cc,396734
0xd47139824558dc235b4a97f3ba91712b5cadf278,372691
0x6a5ec9653d171a19c2cb9b260e8913451a07120f,396679
0xd7b88aa7c282e5665a4a6edb5bd46ca2757bfe90,396734
0x90027d430f7a21fbcf8c9741fa0abdea8881bba6,396679
0xb76bc3ad9c150cc6f83984d02ab8e42225e4d0c2,396734
0x040a0c8fd6c4c929648f1ca4aed3745ce3f1eaae,396734
0x31659733690726cdc1268de0116324aec3546ba6,396679
0x543777acb3a68779db235c6ab5b31de6bb6dd625,373187
0x8d7ef68d3d17fe776254f4d023b905369c897230,396679
0xbf8dc5b041e8e5ba08685f99441a100a0aa51bdf,372746
0xef5fadc9904e27c7f8679965c3ef537096e5ff53,373187
